M1,1952,Deep Sky Object,Planetary Nebula,7200,6 x 4,8.4,5.575,22.0167,Tau,Crab nebula
M2,7089,Deep Sky Object,Globular Cluster,52000,8.2,6.3,21.5583,-0.8333,Aqr,
M3,5272,Deep Sky Object,Globular Cluster,45000,19,6.4,13.7033,28.3833,CVn,
M4,6121,Deep Sky Object,Globular Cluster,7000,14,6.4,16.395,26.5167,Sco,
M5,5904,Deep Sky Object,Globular Cluster,27000,12.7,6.2,15.3083,2.0833,Ser,
M6,6405,Deep Sky Object,Open Cluster,1850,25,5.3,17.6683,-32.2167,Sco,Butterfly cluster
M7,6475,Deep Sky Object,Open Cluster,1230,60,3.2,17.8983,-34.8167,Sco,Ptolemy's cluster
M8,6523,Deep Sky Object,Diffuse Nebula,2500,60 x 35,6,18.0533,-24.3833,Sgr,Lagoon nebula
M9,6333,Deep Sky Object,Globular Cluster,26000,6,7.3,17.3183,-18.5167,Oph,
M10,6254,Deep Sky Object,Globular Cluster,16000,8.2,6.7,16.9517,-4.1167,Oph,
M11,6705,Deep Sky Object,Open Cluster,5670,10,6.3,18.8517,-6.2667,Sct,Wild duck cluster
M12,6218,Deep Sky Object,Globular Cluster,19000,9.3,6.6,16.7867,-1.95,Oph,
M13,6205,Deep Sky Object,Globular Cluster,22000,10,5.7,16.695,36.45,Her,The Hercules cluster
M14,6402,Deep Sky Object,Globular Cluster,23000,3,7.7,17.6267,-3.25,Oph,
M15,7078,Deep Sky Object,Globular Cluster,49000,7.4,6,21.5,12.1667,Peg,
M16,6611,Deep Sky Object,Diffuse Nebula,4600,35 x 28,6.4,18.3133,-13.7833,Ser,Eagle nebula
M17,6618,Deep Sky Object,Diffuse Nebula,3300,46 x 37,7,18.3467,-16.1833,Sgr,Omega nebula
M18,6613,Deep Sky Object,Open Cluster,4900,9,7.5,18.3317,-17.1333,Sgr,
M19,6273,Deep Sky Object,Globular Cluster,22000,4.3,6.6,17.0433,-26.25,Oph,
M20,6514,Deep Sky Object,Diffuse Nebula,2200,29 x 27,9,18.0317,-23.0333,Sgr,Trifid nebula
M21,6531,Deep Sky Object,Open Cluster,2960,10,6.5,18.0783,-22.5,Sgr,
M22,6656,Deep Sky Object,Globular Cluster,10000,17.3,5.9,18.6067,-23.9167,Sgr,
M23,6494,Deep Sky Object,Open Cluster,4490,25,6.9,17.9483,-19.0167,Sgr,
M24,6603,Deep Sky Object,Star Cloud,16000,90,4.6,18.3067,-18.4167,Sgr,Star cloud
M25,IC4725,Deep Sky Object,Open Cluster,1790,40,6.5,18.5283,-19.25,Sgr,
M26,6694,Deep Sky Object,Open Cluster,4900,9,9.3,18.755,-9.4,Sct,
M27,6853,Deep Sky Object,Planetary Nebula,970,8 x 4,7.6,19.9933,22.7167,Vul,Dumb-bell nebula
M28,6626,Deep Sky Object,Globular Cluster,15000,4.7,7.3,18.41,-24.8667,Sgr,
M29,6913,Deep Sky Object,Open Cluster,3100,12,7.1,20.3983,38.5333,Cyg,
M30,7099,Deep Sky Object,Globular Cluster,41000,5.7,8.4,21.6717,-23.1833,Cap,
M31,224,Deep Sky Object,Galaxy,2.3M,109 x 62,4.8,0.7117,41.2667,And,Andromeda galaxy
M32,221,Deep Sky Object,Galaxy,2.3M,8.7 x 6.5,8.7,0.7117,40.8667,And,Satellite galaxy of M31
M33,598,Deep Sky Object,Galaxy,2.6M,70.8 x 41.7,6.7,1.5633,30.65,Tri,
M34,1039,Deep Sky Object,Open Cluster,1400,18,5.5,2.7,42.7833,Per,
M35,2168,Deep Sky Object,Open Cluster,2570,40,5.3,6.1483,24.3333,Gem,
M36,1960,Deep Sky Object,Open Cluster,3780,12,6.3,5.5883,34.15,Aur,
M37,2099,Deep Sky Object,Open Cluster,4720,20,6.2,5.8733,32.55,Aur,
M38,1912,Deep Sky Object,Open Cluster,3580,20,7.4,5.4783,35.8333,Aur,
M39,7092,Deep Sky Object,Open Cluster,810,30,5.2,21.5367,48.4333,Cyg,
M40,-,Deep Sky Object,,,,,12.39,58.05,UMa,
M41,2287,Deep Sky Object,Open Cluster,2470,30,5,6.7833,-20.7333,CMa,
